NUMBER,EASTINGS,NORTHINGS,TREE TYPE,PHOTO DATE STAMP (yyyy/mm/dd),INDIVIDUAL RESPONSIBLE FOR PLANTING,POTENTIAL TONS OF CO2 SEQUESTERED IN 20 YEARS,ORGANISATION RECEIVING OFFSET,,,
353,689232.76,1167852.64,Moringa,2018-04-20,Brazil Students,1400,,,,
354,689202.44,1167852.47,Moringa,2018-04-20,CZITT Staff,1400,,,,
355,689305.39,1167920.62,Moringa,N/A,Aaliyah,1400,,,,
356,689305.39,1167920.62,Moringa,N/A,Aaliyah,1400,,,,
357,689305.39,1167920.62,Moringa,N/A,Dana,1400,,,,
358,689305.39,1167920.62,Moringa,N/A,Giselle,1400,,,,
359,689305.39,1167920.62,Moringa,N/A,Greg,1400,,,,
360,689305.39,1167920.62,Moringa,N/A,La Horquetta South Primary School,1400,,,,
361,689305.39,1167920.62,Moringa,N/A,La Horquetta South Primary School,1400,,,,
362,689202.44,1167852.47,Moringa,2018-04-20,Brazil Secondary School Students,1400,,,,
363,689202.44,1167852.47,Moringa,2018-04-20,Brazil Secondary School Students,1400,,,,
364,689202.44,1167852.47,Moringa,2018-04-20,Brazil Secondary School Students,1400,,,,
365,689202.44,1167852.47,Moringa,2018-04-20,Brazil Secondary School Students,1400,,,,
366,677527.42,1162044.25,Moringa,2018-04-22,Brazil Secondary School Staff,1400,,,,
367,677466.67,1162043.94,Moringa,2018-04-22,Brazil Secondary School Staff,1400,,,,
368,689305.39,1167920.62,Moringa,N/A,Brazil Secondary School Staff,1400,,,,
369,689305.39,1167920.62,Moringa,N/A,Brazil Secondary School Staff,1400,,,,
370,689305.39,1167920.62,Moringa,N/A,Nicole,1400,,,,
371,689305.39,1167920.62,Moringa,N/A,Petra,1400,,,,
372,689305.39,1167920.62,Moringa,N/A,Ramdass,1400,,,,
373,689305.39,1167920.62,Moringa,N/A,Revina Ganece,1400,,,,
374,689305.39,1167920.62,Moringa,N/A,Revina Ganece,1400,,,,
375,689305.39,1167920.62,Moringa,N/A,Russel,1400,,,,
376,689305.39,1167920.62,Moringa,N/A,Slater,1400,,,,
377,689305.39,1167920.62,Moringa,N/A,Slater,1400,,,,
378,689305.39,1167920.62,Moringa,N/A,Slater,1400,,,,
379,677527.42,1162044.25,Soursop,2018-04-22,Annonymous,452,,,,
380,689305.39,1167920.62,Moringa,N/A,Tricia,1400,,,,
381,689305.39,1167920.62,Moringa,N/A,Trishel,1400,,,,
382,662621,1180268,Moringa,,,1400,,,,
383,662627,1180271,Moringa,,,1400,,,,
384,662636,1180269,Moringa,,,1400,,,,
385,662638,1180270,Moringa,,,1400,,,,
386,662642,1180271,Moringa,,,1400,,,,
387,662649,1180273,Moringa,,,1400,,,,
388,662655,1180271,Moringa,,,1400,,,,
389,662659,1180272,Moringa,,,1400,,,,
390,662662,1180273,Moringa,,,1400,,,,
391,662668,1180272,Moringa,,,1400,,,,
392,662674,1180273,Moringa,,,1400,,,,
393,662679,1180273,Moringa,,,1400,,,,
393,666743.69,1154218.29,Unknown,2021-03-21,,452,,,,
393,666743.69,1154218.29,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,666743.68,1154218.73,Unknown,2021-03-21,,452,,,,
393,668441.4,1152183.94,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668449.01,1152172.58,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668447.7,1152149.13,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668446.25,1152131.42,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668439.54,1152115.68,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668426.82,1152120.38,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668416.77,1152137.14,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668384.04,1152135.1,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668374.83,1152139.26,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668352.15,1152141.36,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668342.97,1152137.78,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668324.66,1152143.99,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668308.45,1152144.47,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668278.25,1152140.23,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668277.25,1152166.44,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668281.35,1152177.52,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668276.6,1152186.68,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668282.68,1152196.77,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668276.3,1152203.93,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
393,668278.58,1152207.59,Unknown,08-Oct-19,Republic Bank Limited Employees,452,,,,
